class	ending	s0	name	value	target	trial_type	prompt	stimulus	choices
művelt	en	Ez egy szláken.	s1	Azok ott szlákenok.	szláken	dat	<p>Ez egy szláken. Azok ott szlákenok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szláken</p>	
művelt	en	Ez egy szláken.	s2	Elneveztem a kutyámat szlákennak.	szláken	dat	<p>Ez egy szláken. Elneveztem a kutyámat szlákennak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szláken</p>	
művelt	en	Ez egy daken.	s1	Azok ott dakenok.	daken	dat	<p>Ez egy daken. Azok ott dakenok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">daken</p>	
művelt	en	Ez egy daken.	s2	Elneveztem a kutyámat dakennak.	daken	dat	<p>Ez egy daken. Elneveztem a kutyámat dakennak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">daken</p>	
művelt	en	Ez egy bálen.	s1	Azok ott bálenok.	bálen	dat	<p>Ez egy bálen. Azok ott bálenok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bálen</p>	
művelt	en	Ez egy bálen.	s2	Elneveztem a kutyámat bálennak.	bálen	dat	<p>Ez egy bálen. Elneveztem a kutyámat bálennak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bálen</p>	
művelt	en	Ez egy laben.	s1	Azok ott labenok.	laben	dat	<p>Ez egy laben. Azok ott labenok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">laben</p>	
művelt	en	Ez egy laben.	s2	Elneveztem a kutyámat labennak.	laben	dat	<p>Ez egy laben. Elneveztem a kutyámat labennak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">laben</p>	
művelt	en	Ez egy pámen.	s1	Azok ott pámenok.	pámen	dat	<p>Ez egy pámen. Azok ott pámenok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pámen</p>	
művelt	en	Ez egy pámen.	s2	Elneveztem a kutyámat pámennak.	pámen	dat	<p>Ez egy pámen. Elneveztem a kutyámat pámennak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">pámen</p>	
művelt	ett	Ez egy vódett.	s1	Azok ott vódettok.	vódett	dat	<p>Ez egy vódett. Azok ott vódettok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">vódett</p>	
művelt	ett	Ez egy vódett.	s2	Elneveztem a kutyámat vódettnak.	vódett	dat	<p>Ez egy vódett. Elneveztem a kutyámat vódettnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">vódett</p>	
művelt	ett	Ez egy rojett.	s1	Azok ott rojettok.	rojett	dat	<p>Ez egy rojett. Azok ott rojettok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">rojett</p>	
művelt	ett	Ez egy rojett.	s2	Elneveztem a kutyámat rojettnak.	rojett	dat	<p>Ez egy rojett. Elneveztem a kutyámat rojettnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">rojett</p>	
művelt	ett	Ez egy bondett.	s1	Azok ott bondettok.	bondett	dat	<p>Ez egy bondett. Azok ott bondettok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">bondett</p>	
